信托机构名称    D10001000000-安徽国元信托有限责任公司;D10002000002-建元信托股份有限公司;D10003000004-百瑞信托有限责任公司;D10004000006-北方国际信托股 份有限公司;D10005000008-北京国际信托有限公司;D10006000001-渤海国际信托股份有限公司;D10007000001-长安国际信托股份有限公司;D10008000003-长城新盛信托有限责任公司;D10009000005-重庆国际信托股份有限公司;D10010000007-大业信托有限责任公司;D10011000009-东莞信托有限公司;D10012000000-国通信托有限责任公司;D10013000002-光大兴陇信托有限责任公司;D10014000004-广东粤财信托有限公司;D10015000006-国联信托股份有限公司;D10016000008-国民信托有限公司;D10017000001-国投泰康信托有限公司;D10018000001-杭州工商信托股份有限公司;D10019000003-湖南省财信信托有限责任公司;D10020000005-华澳国际信托有限公司;D10021000007-华宝信托有限责任公司;D10022000009-华宸信托有限责任公司;D10023000000-华能贵诚信托有限公司;D10024000002-华融国际信托有限责任公司;D10025000004-华润深国投信托有限公司;D10026000006-华鑫国际信托有限公司;D10027000008-华信信托股份有限公司;D10028000001-吉林省信托有限责任公司;D10029000001-建信信托有限责任公司;D10030000003-江苏省国际信托有限责任公司;D10031000005-交银国际信托有限公司;D10032000007-昆仑信托有限责任公司;D10033000009-陆家嘴国际信托有限公司;D10034000000-平安信托有限责任公司;D10035000002-山东省国际信托股份有限公司;D10036000004-山西信托股份有限公司;D10037000006-陕西省国际信托股份有限公司;D10038000008-上海爱建信托有限责任公司;D10039000001-上海国际信托有限公司;D10040000001-四川信托有限公司;D10041000003-苏州信托有限公司;D10042000005-天津信托有限责任公司;D10043000007-万向信托股份公司;D10044000009-五矿国际信托有限公司;D10045000000-西部信托有限公司;D10046000002-西藏信托有限公司;D10047000004-厦门国际信托有限公司;D10049000008-新时代信托股份有限公司;D10050000001-兴业国际信托有限公司;D10051000001-英大国际信托有限责任公司;D10052000003-云南国际信托有限公司;D10053000005-浙商金汇信托股份有限公司;D10054000007-中诚信托有限责任公司;D10055000009-中国对外经济贸易信托有限公司;D10056000000-中国金谷国际信托有限责任公司;D10057000002-中国民生信托有限公司;D10058000004-中海信托股份有限公司;D10059000006-中航信托股份有限公司;D10060000008-中建投信托股份有限公司;D10061000001-雪松国际信托股份有限公司;D10062000001-中粮信托有限责任公司;D10063000003-中融国际信托有限公司;D10064000005-中泰信托有限责任公司;D10065000007-中铁信托有限责任公司;D10066000009-中信信托有限责任公司;D10067000000-中原信托有限公司;D10068000002-紫金信托有限责任公司;D19999000007-中国信托业保障基金有限责任公司;

受益方式        0-自益;1-他益;2-自益+他益;4-公益;

受托职责        0-主动管理;1-被动管理;

财产来源        1-集合资金;0-单一资金;2-财产权;

是否信托受益权转让      0-非转让;1-拆分转让;2-整体转让;

发行、转让场所  0-银行间市场;1-证券交易场所;2-银登中心;3-其他;

运作模式        0-开放式净值型;1-封闭式净值型;2-开放式非净值型;3-封闭式非净值型;

频度    0-工作日;1-自然日;2-周;3-双周;4-旬;5-半月;6-月度;7-季度;8-半年度;9-年度;10-其他;11-无;

是否标识        1-是;0-否;

是否TOT 0-非TOT信托;1-TOT上层信托;2-TOT下层信托;3-其他;

受益人是否可查询        0-可查询;1-需委托人同意后可查询;2-不可查询;

评级机构名称    0-中诚信国际信用评级有限责任公司;1-大公国际资信评估有限公司;2-远东资信评估有限公司;3-联合资信评估股份有限公司;4-上海新世纪资信评估投资服务有限公司;5-中证鹏元资信评估股份有限公司;6-东方金诚国际信用评估有限公司;7-中债资信评估有限责任公司;8-联合信用评级有限公司;9-中诚信证券评估有限公司;10-其他外部评级机构;11-内部评级;

评级变化情况    0-评级上调;1-评级下调;2-评级不变;

信托业务分类    0-资产服务信托;1-资产管理信托;2-公益慈善信托;3-待整改业务;

资产管理信托分类        0-固定收益类信托计划;1-权益类信托计划;2-商品及金融衍生品类信托计划;3-混合类信托计划;

资产服务信托分类1       0-财富管理服务信托;1-行政管理服务信托;2-资产证券化服务信托;3-风险处置服务信托;4-新型资产服务信托;

资产服务信托分类2       0-家族信托;1-家庭服务信托;2-保险金信托;3-特殊需要信托;4-遗嘱信托;5-其他个人财富管理信托;6-法人及非法人组织财富管理信托;7-预付 类资金服务信托;8-资管产品服务信托;9-担保品服务信托;10-企业/职业年金服务信托;11-其他行政管理服务信托;12-信贷资产证券化服务信托;13-企业资产证券化服务信 托;14-非金融企业资产支持票据服务信托;15-其他资产证券化服务信托;16-企业市场化重组服务信托;17-企业破产服务信托;18-新型资产服务信托;

公益慈善信托分类        0-慈善信托;1-其他公益信托;

公益慈善信托目的        0-救助灾害;1-救助贫困;2-扶助残疾人;3-科学事业;4-教育事业;5-文化事业;6-卫生事业;7-体育事业;8-环境保护;9-社会公共设施建设;10-其 他;

财富管理信托目的        0-财产规划;1-风险隔离;2-资产配置;3-子女教育;4-家族治理;5-公益慈善;6-其他;

设立方式        0-合同;1-遗嘱;2-合同+遗嘱;3-其他;

担保物权类型    0-抵押权;1-质权;2-留置权;3-其他;

服务内容        0-管理和处置;1-担保权利行使;2-其他;

受托业务类型    0-企业年金;1-职业年金;

资管新规整改情况        0-非标资金池;1-期限错配;2-多层嵌套;3-杠杆比例超限;4-不涉及;

家族信托模式    0-全权委托型;1-委托指令型;2-投资顾问型;3-混合型;4-其他;

预付类模式      0-商户作为委托人;1-消费者作为委托人;2-其他;

预付类场景      0-文化教育培训领域;1-餐饮娱乐等消费领域;2-押金及保证金;3-物业维修资金;4-房地产预售资金;5-其他;

业务模式        0-联合贷;1-助贷;2-购买个贷债权资产;3-银登中心等场所进行资产流转业务;4-其他;

绿色信托业务模式        0-绿色信托贷款;1-绿色股权投资;2-绿色债券投资;3-绿色资产证券化;4-绿色产业基金;5-绿色公益/慈善信托;6-其他;

是否城市更新    0-城中村改造;1-其他城市更新;2-不涉及;

是否普惠金融    0-普惠型小微企业贷款;1-普惠型农户经营贷款;2-普惠型消费贷款;3-普惠型养老领域信托产品;4-普惠型公益慈善信托;5-其他;6-不涉及;

区域发展战略    0-西部大开发;1-东北振兴;2-中部崛起;3-东部率先;4-京津冀协同发展;5-长江经济带发展;6-粤港澳大湾区建设;7-长三角一体化发展;8-黄河流域生态保护和高质量发展;9-一带一路;10-不涉及;

政府级别        0-省级（含副省级）;1-地市级;2-县级及以下;

客户类型详情    0-个体工商户;1-自然人;2-境外自然人;3-国有大型商业银行;4-全国性股份制商业银行;5-城市商业银行;6-农村中小银行机构;7-其他银行业金融机构;8-保险公司;9-保险资产管理公司;10-其他保险业机构;11-证券公司及证券子公司;12-基金管理公司及基金管理子公司;13-信托公司;14-理财公司;15-交易及结算类金融机构;16-金融控股公司;17-其他持牌金融机构;18-境外银行;19-境外非银行金融机构;20-银行理财;21-证券资管;22-基金资管;23-期货资管;24-保险资管;25-金融资产投资公司 资管产品;26-私募机构私募基金;27-信托产品;28-其他特定目的载体;29-境外特定目的载体;30-地方金融组织;31-公司;32-私募基金管理人;33-非公司企业;34-其他非金融企业部门;35-境外非金融企业;36-中央政府;37-地方政府;38-社保基金;39-事业单位;40-社会团体;41-部队;42-住房公积金;43-国际组织;44-外国政府;45-其他;

证件类型        0-统一社会信用代码;1-组织机构代码证;2-营业执照;3-全球法人识别编码;4-居民身份证;5-临时居民身份证;6-军人身份证件;7-士兵证;8-中国人民解放军军官证;9-中国人民解放军文职干部证;10-中国人民解放军士官证;11-中国人民解放军义务兵证;12-中国人民解放军文职人员证;13-武警身份证件;14-武警士兵证;15-中 国人民武装警察部队警官证;16-中国人民武装警察部队文职干部证;17-中国人民武装警察部队士官证;18-中国人民武装警察部队义务兵证;19-中国人民武装警察部队文职人员证;20-户口簿;21-护照;22-中国因私护照;23-中国因公护照;24-外国护照;25-港澳居民来往内地通行证;26-台湾居民来往大陆通行证;27-外国人居留证;28-外国人永久居留身份证;29-香港居民身份证;30-澳门居民身份证;31-台湾居民身份证;32-往来港澳通行证;33-境外边民临时居留证;34-港澳居民居住证;35-台湾居民居住证;36-信托产品登记编码;37-资管产品登记备案编码;38-资管产品统计编码;39-其他;

行业分类        0-A－农、林、牧、渔业;1-B－采矿业;2-C－制造业;3-D－电力、热力、燃气及水生产和供应业;4-E－建筑业;5-F－批发和零售业;6-G－交通运输、仓储 和邮政业;7-H－住宿和餐饮业;8-I－信息传输、软件和信息技术服务业;9-J－金融业;10-K－房地产业;11-L－租赁和商务服务业;12-M－科学研究和技术服务业;13-N－水利、环境和公共设施管理业;14-O－居民服务、修理和其他服务业;15-P－教育;16-Q－卫生和社会工作;17-R－文化、体育和娱乐业;18-S－公共管理、社会保障和社会组织;19-T－国际组织;20-Z－其他;

基础资产类型    0-银行信贷资产;1-非银行信贷资产;2-企业应收款;3-租赁债权;4-信托受益权;5-不动产;6-不动产收益权;7-其他;

风险处置类型    0-破产重整;1-破产和解;2-破产清算;

互联网贷款合作方类型    0-银行业金融机构;1-保险公司;2-小额贷款公司;3-融资担保公司;4-电子商务公司;5-非银行支付机构;6-信息科技公司;7-其他;

互联网贷款合作方式      0-营销获客;1-联合贷款;2-支付结算;3-风险分担;4-担保增信;5-信息科技;6-逾期清收;7-其他;

信托费用类型    0-受托人报酬;1-托管费;2-投资管理费;3-销售服务费;4-其他;

账户性质        0-银行账户;1-证券账户;

